assay_id	#cmpd	assay_type	target_family
157	65	B	Ion channel
517	70	F	Phenotypic
535	69	B	Phenotypic
831	55	B	GPCR
924	81	B	GPCR
1160	82	B	GPCR
1163	53	B	GPCR
1512	238	B	GPCR
1513	51	B	GPCR
1520	71	B	GPCR
1614	53	B	GPCR
1700	53	B	GPCR
2126	103	B	GPCR
2187	51	B	GPCR
2432	51	B	GPCR
2526	55	B	GPCR
2755	56	B	GPCR
2936	51	B	GPCR
3444	59	B	Ion channel
3819	60	B	Phenotypic
3891	76	B	Phenotypic
3907	51	B	Phenotypic
3921	56	B	Phenotypic
3925	66	B	Phenotypic
3958	59	B	Phenotypic
3965	63	B	Phenotypic
4197	63	B	Phenotypic
4202	111	F	Phenotypic
4285	104	B	Phenotypic
4992	51	F	Phenotypic
7296	50	F	Phenotypic
27571	53	B	GPCR
27577	69	B	GPCR
27616	52	B	GPCR
27660	78	B	Phenotypic
27924	53	B	GPCR
28023	50	B	Phenotypic
28185	74	B	Phenotypic
28188	74	B	Phenotypic
28331	74	B	Phenotypic
28334	75	B	Phenotypic
28336	71	B	Phenotypic
28339	67	B	Phenotypic
28340	80	B	Phenotypic
28347	60	B	Phenotypic
28496	52	B	Phenotypic
28532	90	B	GPCR
28797	165	B	Phenotypic
28965	76	B	GPCR
29112	53	B	GPCR
29233	51	B	Phenotypic
29318	96	B	GPCR
29456	65	B	GPCR
29849	57	B	Phenotypic
30008	95	B	GPCR
30305	64	B	GPCR
30307	68	B	GPCR
30535	56	B	GPCR
30723	72	B	GPCR
30792	62	B	Phenotypic
31628	83	B	Phenotypic
31759	81	B	Phenotypic
31764	63	B	Phenotypic
31771	54	B	Phenotypic
31889	62	B	Phenotypic
32001	51	B	GPCR
32099	52	B	Phenotypic
32404	51	B	GPCR
32524	65	B	GPCR
32721	81	B	GPCR
34031	51	B	GPCR
34078	54	B	GPCR
34106	51	B	Proteinase
34190	52	B	GPCR
34232	50	B	GPCR
34578	66	B	GPCR
34583	59	B	GPCR
34789	54	B	Proteinase
34799	57	B	Proteinase
34827	63	B	GPCR
34948	53	B	GPCR
35100	70	B	GPCR
35129	61	B	GPCR
35413	53	B	GPCR
35562	61	B	GPCR
36150	102	F	Proteinase
36196	73	B	NHR
36310	117	F	NHR
36337	93	B	GPCR
36475	64	B	GPCR
36483	64	B	GPCR
36630	100	B	GPCR
36763	100	B	GPCR
36933	56	F	GPCR
36941	97	B	GPCR
36944	90	F	GPCR
37062	51	B	Ion channel
37359	54	B	Ion channel
37363	60	B	Ion channel
37371	78	B	Ion channel
37966	67	B	Ion channel
39478	80	B	GPCR
39493	80	B	GPCR
39629	61	B	GPCR
39639	98	B	GPCR
39938	100	B	Phenotypic
40166	53	B	Proteinase
40265	57	B	GPCR
40286	54	B	GPCR
41497	69	F	Phenotypic
41751	72	B	GPCR
41884	86	F	Phenotypic
41891	53	B	GPCR
42682	71	F	Phenotypic
42810	74	B	Kinase
42878	59	F	Phenotypic
42968	67	F	Phenotypic
43024	78	F	Phenotypic
43662	62	B	Proteinase
43668	86	B	Proteinase
43727	56	F	Phenotypic
43853	88	B	Proteinase
43999	52	B	Phenotypic
44489	58	B	GPCR
44576	65	F	Phenotypic
44654	50	F	Phenotypic
44689	117	B	GPCR
44853	146	B	Phenotypic
45044	218	B	Phenotypic
45045	98	B	Phenotypic
45059	64	B	Phenotypic
45075	128	B	Phenotypic
45080	64	B	Phenotypic
45082	127	B	Phenotypic
45236	150	B	Phenotypic
45264	98	B	Phenotypic
45265	218	B	Phenotypic
45272	62	B	Phenotypic
45347	51	B	Proteinase
45421	64	B	Phenotypic
45422	128	B	Phenotypic
45424	55	B	Phenotypic
45427	127	B	Phenotypic
45431	150	B	Phenotypic
46624	58	B	GPCR
46818	61	B	GPCR
46820	63	B	GPCR
47386	51	B	Proteinase
47497	218	B	Phenotypic
47498	98	B	Phenotypic
47511	128	B	Phenotypic
47516	64	B	Phenotypic
47518	127	B	Phenotypic
47661	50	B	GPCR
47858	147	B	Phenotypic
47960	104	B	GPCR
47971	56	B	GPCR
48108	50	B	GPCR
48248	57	B	GPCR
48316	72	B	Proteinase
48451	95	B	Proteinase
48534	77	B	Proteinase
48587	54	B	GPCR
48627	51	B	Proteinase
48628	63	B	Proteinase
48641	56	B	Proteinase
48815	61	B	Proteinase
48837	59	B	Proteinase
49306	60	B	Proteinase
49308	135	B	Proteinase
49312	94	B	Proteinase
49333	88	B	Proteinase
49425	97	B	GPCR
49438	51	B	Proteinase
49485	100	B	Proteinase
49489	64	B	Proteinase
49558	89	B	GPCR
49717	56	B	GPCR
49848	108	B	GPCR
49996	52	B	GPCR
50185	101	B	GPCR
50316	77	B	Kinase
50319	74	B	Kinase
50337	51	B	Kinase
50508	94	B	Kinase
50629	54	B	Phenotypic
50848	58	B	Kinase
50979	63	B	GPCR
51111	76	B	GPCR
51114	108	B	GPCR
51162	60	B	Kinase
51172	58	B	Kinase
51212	68	B	Phenotypic
51337	70	B	Kinase
51459	55	F	Phenotypic
51590	50	B	Phenotypic
52222	52	B	GPCR
52504	64	B	Kinase
52506	72	B	Kinase
52650	60	B	Kinase
52665	75	B	Kinase
52672	52	B	Kinase
52685	94	B	Kinase
52873	65	B	Phenotypic
52874	65	B	Phenotypic
52980	62	B	Phenotypic
53177	84	B	Ion channel
53208	86	B	Proteinase
53364	56	B	Proteinase
53367	56	B	Proteinase
53465	62	B	Phenotypic
53735	51	B	Phenotypic
54063	53	B	Phenotypic
54089	76	B	Phenotypic
54735	67	B	Phenotypic
55100	78	B	Phenotypic
55115	62	B	Phenotypic
56498	75	B	GPCR
58198	119	B	GPCR
58683	51	B	GPCR
61740	58	B	GPCR
61834	66	B	Phenotypic
62137	74	B	GPCR
62181	68	B	Phenotypic
62394	51	B	GPCR
62785	60	B	Phenotypic
63185	52	B	GPCR
63217	83	B	GPCR
63342	89	B	GPCR
63356	52	B	GPCR
63357	55	B	GPCR
63369	75	B	GPCR
63527	76	B	GPCR
63594	54	B	Phenotypic
63615	53	B	Kinase
63683	103	F	GPCR
63688	56	B	GPCR
63756	54	B	Kinase
63865	77	B	GPCR
63874	50	B	GPCR
63997	56	B	Proteinase
64007	52	B	GPCR
64008	54	B	GPCR
64034	50	B	GPCR
64185	69	B	GPCR
64661	164	B	Proteinase
64687	94	F	Phenotypic
65464	63	B	GPCR
65465	76	B	GPCR
65482	103	F	GPCR
65486	56	B	GPCR
65796	50	B	GPCR
65802	63	B	GPCR
65814	59	B	GPCR
66255	51	B	Phenotypic
66267	53	B	Phenotypic
66273	64	B	Phenotypic
66586	69	B	Kinase
66720	66	B	Kinase
67039	51	B	Kinase
67203	54	B	NHR
67518	54	B	NHR
68433	129	B	Ion channel
68483	79	B	Phenotypic
68746	53	F	Phenotypic
68748	53	F	Phenotypic
69119	91	B	Phenotypic
69638	60	B	Ion channel
69648	59	B	Ion channel
69792	60	B	Ion channel
69797	60	B	Ion channel
69839	55	B	Phenotypic
69840	56	B	Phenotypic
69841	55	B	Phenotypic
70099	131	B	Ion channel
70137	50	B	Phenotypic
70261	119	B	Ion channel
70331	60	B	Phenotypic
70360	63	F	Phenotypic
70416	129	B	Ion channel
70439	126	B	Phenotypic
70610	66	B	Kinase
70611	92	B	Kinase
70619	54	B	Kinase
70695	134	B	Ion channel
71130	74	B	Kinase
71148	63	B	Kinase
71150	66	B	Kinase
71198	56	F	Phenotypic
72875	75	B	GPCR
75330	53	F	GPCR
75463	99	B	GPCR
75469	68	F	Ion channel
75477	82	F	GPCR
75484	64	F	Phenotypic
75490	59	F	Phenotypic
75589	69	F	Phenotypic
75622	70	F	Phenotypic
75743	73	F	Phenotypic
75756	73	F	Phenotypic
75907	84	B	Phenotypic
76063	52	B	Phenotypic
76067	110	B	Phenotypic
76069	66	B	Phenotypic
76934	89	F	Phenotypic
77063	61	F	Phenotypic
77277	50	F	Phenotypic
78751	53	B	Kinase
78914	56	F	Phenotypic
79287	66	F	Phenotypic
79581	51	F	Phenotypic
80294	66	F	Phenotypic
80649	52	B	Phenotypic
82005	50	A	Phenotypic
82666	54	F	Phenotypic
84556	58	B	GPCR
84913	52	F	Phenotypic
86312	73	F	Phenotypic
87054	60	B	GPCR
87173	163	F	Phenotypic
87656	53	F	Phenotypic
87956	53	F	Phenotypic
88003	58	F	Phenotypic
88045	85	B	Phenotypic
88176	57	B	GPCR
88607	59	B	Phenotypic
88770	78	B	Phenotypic
88771	76	B	Phenotypic
88905	115	B	Phenotypic
89057	87	B	Phenotypic
89064	56	B	Phenotypic
89213	92	B	Phenotypic
89421	62	F	Phenotypic
89542	52	B	Ion channel
89731	57	F	Phenotypic
89839	53	B	Ion channel
89859	56	F	Phenotypic
89920	90	F	Proteinase
90875	59	B	Phenotypic
91168	55	F	Ion channel
91747	50	F	Phenotypic
92156	55	F	Phenotypic
92484	52	F	Phenotypic
92493	52	F	Phenotypic
92724	51	B	Ion channel
93228	95	A	Phenotypic
95597	75	F	Phenotypic
96109	56	F	Phenotypic
96910	51	B	Kinase
96941	69	B	Proteinase
97281	63	B	Phenotypic
97604	59	F	Phenotypic
98236	50	F	Phenotypic
100169	66	B	Phenotypic
100508	61	F	Phenotypic
101082	72	F	NHR
102321	67	F	Phenotypic
102353	65	F	Phenotypic
102381	177	F	Phenotypic
102784	80	F	Phenotypic
102785	78	F	Phenotypic
103101	59	F	Phenotypic
103102	59	F	Phenotypic
103104	59	F	Phenotypic
103105	59	F	Phenotypic
103276	56	F	Phenotypic
103280	56	F	Phenotypic
103290	59	F	Phenotypic
103941	62	F	Phenotypic
104160	70	F	Phenotypic
104172	59	F	Phenotypic
104407	64	B	Proteinase
104538	68	B	Proteinase
104542	53	B	Proteinase
104616	59	B	GPCR
104726	85	B	Proteinase
104738	52	B	Proteinase
104740	55	B	Proteinase
105071	85	B	Proteinase
105108	141	B	GPCR
105136	67	B	Proteinase
105142	96	B	Proteinase
105195	64	B	Proteinase
105205	59	B	Proteinase
105388	64	B	Proteinase
105390	68	B	Proteinase
105401	59	B	Proteinase
105516	51	B	Proteinase
105807	68	B	Proteinase
105812	84	B	Proteinase
105962	57	B	Proteinase
106144	64	B	Proteinase
106145	68	B	Proteinase
106632	50	B	Proteinase
114300	82	A	Phenotypic
122731	56	F	Phenotypic
122938	66	B	Phenotypic
123919	66	B	Phenotypic
124012	52	B	Kinase
124418	56	B	Phenotypic
124487	53	B	Kinase
135581	95	F	Phenotypic
138287	51	B	GPCR
138585	51	B	GPCR
139113	51	B	GPCR
139388	51	B	GPCR
139462	66	B	GPCR
139463	66	B	GPCR
139631	51	B	GPCR
140228	53	B	Ion channel
140229	68	B	Ion channel
140683	84	B	Ion channel
140713	74	B	Ion channel
140872	53	B	Ion channel
141698	50	B	Ion channel
142139	51	B	Ion channel
142338	58	B	Ion channel
142500	52	B	Ion channel
142572	69	B	Ion channel
142909	59	B	Ion channel
142944	66	B	Phenotypic
143354	65	B	Phenotypic
143676	100	B	GPCR
143983	63	B	GPCR
144153	51	B	GPCR
144157	56	B	GPCR
144341	74	B	Ion channel
145030	147	B	GPCR
147673	76	F	GPCR
147797	76	F	GPCR
147866	56	B	Phenotypic
147912	56	F	Phenotypic
148191	53	B	Kinase
148444	50	F	Phenotypic
149059	82	B	GPCR
149237	63	F	Phenotypic
149253	88	F	Phenotypic
149344	64	F	Phenotypic
149384	61	F	Phenotypic
151699	89	F	GPCR
152416	69	B	Phenotypic
152457	66	B	Kinase
152460	62	B	Kinase
153318	68	B	Phenotypic
154333	56	B	Phenotypic
154524	58	B	NHR
154975	86	F	GPCR
155185	50	B	Phenotypic
155200	55	B	Phenotypic
155202	73	B	Phenotypic
155208	51	B	Phenotypic
155239	57	B	Proteinase
155314	50	F	Phenotypic
155494	53	F	Phenotypic
155502	69	F	Phenotypic
155808	94	F	Phenotypic
155834	74	B	Phenotypic
155946	70	F	Phenotypic
156010	50	B	Phenotypic
156183	64	B	Phenotypic
156187	74	F	Phenotypic
156192	85	B	Phenotypic
157195	57	B	Phenotypic
157209	68	B	Phenotypic
157530	96	B	Proteinase
157551	117	B	Proteinase
157693	299	B	Phenotypic
157713	82	B	Proteinase
157766	53	F	Phenotypic
157774	50	F	Phenotypic
157907	57	F	Phenotypic
158033	56	B	Proteinase
158035	60	B	Proteinase
158036	54	B	Proteinase
158103	62	B	Phenotypic
158139	64	B	Phenotypic
158347	88	B	GPCR
158358	92	B	Kinase
158520	53	B	Kinase
158521	63	B	Kinase
158524	65	B	Kinase
158651	76	B	Kinase
158652	76	B	Kinase
158653	91	B	Kinase
158662	55	B	Kinase
158729	95	B	Phenotypic
158739	84	B	Phenotypic
158753	106	B	Phenotypic
158893	59	B	Proteinase
158913	52	B	Phenotypic
158975	50	B	Proteinase
159136	65	B	Proteinase
